Algorithm,Clipart,Product,Real_World,Average
ERM,42.68 ± 0.77,57.99 ± 1.14,67.4 ± 0.73,56.03 ± 0.75
MixUp,36.94 ± 1.02,53.61 ± 1.11,63.42 ± 0.54,51.33 ± 0.78
CutMix,37.0 ± 1.24,53.3 ± 1.19,62.46 ± 1.22,50.93 ± 1.08
AugMix,43.16 ± 0.95,57.36 ± 0.95,67.45 ± 0.76,55.99 ± 0.87
RandAugment,46.31 ± 0.8,59.91 ± 0.77,67.69 ± 0.71,57.98 ± 0.66
CutOut,40.88 ± 0.65,57.09 ± 0.29,66.7 ± 0.05,54.89 ± 0.27
RSC,40.74 ± 0.55,55.41 ± 0.58,65.0 ± 0.76,53.72 ± 0.52
SN,34.89 ± 0.8,38.23 ± 1.47,49.3 ± 1.21,40.79 ± 1.09
SRN,34.26 ± 1.2,37.47 ± 1.38,48.65 ± 1.07,40.11 ± 1.01
MEADA,43.68 ± 0.81,58.83 ± 0.73,67.7 ± 0.44,56.74 ± 0.39
L2D,42.49 ± 0.88,51.38 ± 0.92,62.42 ± 0.7,52.09 ± 0.65
PixMix,41.95 ± 0.74,56.44 ± 0.83,65.7 ± 0.52,54.7 ± 0.58
ACVC,43.25 ± 0.82,54.45 ± 0.6,64.93 ± 0.72,54.2 ± 0.45
OURS_G,47.81 ± 0.05,64.0 ± 0.94,72.08 ± 0.35,61.31 ± 0.39
OURS_SD,52.46 ± 0.85,64.07 ± 0.49,72.05 ± 0.52,62.86 ± 0.41
Con,51.04 ± 0.36,63.59 ± 1.1,70.65 ± 0.38,61.77 ± 0.44
Mod,50.4 ± 0.72,62.25 ± 0.89,69.91 ± 0.45,60.85 ± 0.66
