Algorithm,Art,Clipart,Product,Average
ERM,56.5 ± 0.49,46.16 ± 0.77,73.25 ± 0.56,59.1 ± 0.56
MixUp,51.11 ± 1.44,39.39 ± 1.67,68.01 ± 1.33,53.24 ± 1.08
CutMix,52.6 ± 0.76,40.13 ± 2.05,69.47 ± 1.73,54.42 ± 1.45
AugMix,56.42 ± 0.71,47.49 ± 1.91,72.28 ± 0.73,59.22 ± 1.13
RandAugment,57.68 ± 0.49,50.57 ± 0.88,73.39 ± 0.56,61.13 ± 0.64
CutOut,56.25 ± 0.5,44.92 ± 0.74,72.52 ± 0.52,58.28 ± 0.54
RSC,56.1 ± 0.27,46.69 ± 0.61,72.58 ± 0.31,58.96 ± 0.27
SN,42.76 ± 0.94,44.44 ± 0.4,60.24 ± 1.0,50.32 ± 0.67
SRN,42.85 ± 1.18,44.03 ± 1.29,59.75 ± 1.26,49.99 ± 1.09
MEADA,56.49 ± 0.85,46.53 ± 0.3,72.78 ± 0.43,59.06 ± 0.44
L2D,53.26 ± 0.41,48.71 ± 0.98,68.5 ± 0.37,57.51 ± 0.27
PixMix,57.59 ± 0.27,47.23 ± 0.95,71.49 ± 0.63,59.05 ± 0.45
ACVC,54.55 ± 0.66,47.57 ± 1.47,68.4 ± 0.67,57.31 ± 0.51
OURS_G,59.82 ± 0.5,50.19 ± 0.87,74.46 ± 0.31,61.87 ± 0.51
OURS_SD,57.44 ± 0.43,55.57 ± 0.91,73.09 ± 0.61,62.9 ± 0.6
Con,56.73 ± 0.63,52.93 ± 1.3,72.47 ± 0.43,61.47 ± 0.77
Mod,56.57 ± 0.47,51.84 ± 0.38,71.48 ± 0.82,60.62 ± 0.45
