Algorithm,photo,sketch,cartoon,Average
ERM,96.24 ± 0.34,53.3 ± 5.14,63.27 ± 1.39,65.27 ± 2.95
MixUp,93.22 ± 1.02,41.65 ± 6.39,54.57 ± 2.94,56.3 ± 3.96
CutMix,93.75 ± 0.67,47.46 ± 2.08,57.36 ± 2.33,60.11 ± 1.18
AugMix,96.48 ± 0.16,52.23 ± 2.44,63.45 ± 0.89,64.85 ± 1.21
RandAugment,95.82 ± 1.28,61.63 ± 4.88,61.61 ± 3.47,68.81 ± 3.16
CutOut,96.04 ± 0.51,52.39 ± 2.41,61.31 ± 2.17,64.2 ± 1.79
RSC,94.49 ± 0.73,56.57 ± 3.2,66.02 ± 1.43,67.33 ± 1.54
SN,81.27 ± 1.32,64.39 ± 4.69,61.79 ± 2.43,67.17 ± 2.97
SRN,81.1 ± 2.19,66.88 ± 2.25,59.45 ± 1.25,67.68 ± 0.83
MEADA,95.4 ± 1.33,54.23 ± 3.33,65.97 ± 1.86,66.35 ± 1.85
L2D,94.41 ± 0.34,61.25 ± 4.04,68.11 ± 1.44,70.25 ± 1.74
PixMix,96.03 ± 0.65,52.01 ± 7.08,61.94 ± 3.0,64.19 ± 4.2
ACVC,95.23 ± 0.8,59.41 ± 5.38,64.2 ± 1.84,68.35 ± 2.68
OURS_G,96.58 ± 0.26,65.27 ± 3.16,72.42 ± 3.73,73.96 ± 2.08
OURS_SD,96.84 ± 0.34,71.97 ± 3.64,80.97 ± 0.99,79.86 ± 2.03
Con,95.27 ± 0.62,71.0 ± 1.56,78.16 ± 1.68,78.21 ± 0.76
Mod,96.31 ± 0.47,74.83 ± 1.39,78.26 ± 1.86,80.36 ± 0.89
