Algorithm,art_painting,photo,sketch,Average
ERM,68.07 ± 2.1,85.64 ± 0.98,67.57 ± 1.56,71.65 ± 1.35
MixUp,63.54 ± 1.58,83.53 ± 1.95,53.42 ± 3.03,62.71 ± 1.86
CutMix,64.8 ± 1.96,83.59 ± 1.2,58.2 ± 4.78,65.51 ± 2.53
AugMix,73.32 ± 0.83,88.63 ± 0.64,66.54 ± 3.34,73.19 ± 1.71
RandAugment,68.84 ± 1.55,85.75 ± 1.44,69.57 ± 1.2,72.9 ± 0.49
CutOut,66.39 ± 1.97,82.88 ± 2.46,67.5 ± 1.8,70.56 ± 1.05
RSC,68.57 ± 0.95,84.78 ± 1.41,68.71 ± 3.35,72.18 ± 1.38
SN,48.65 ± 2.41,62.47 ± 2.01,65.06 ± 4.28,60.1 ± 2.53
SRN,48.28 ± 2.64,64.16 ± 2.27,69.25 ± 2.29,62.52 ± 2.09
MEADA,66.72 ± 1.24,84.11 ± 1.9,67.13 ± 2.22,70.73 ± 1.64
L2D,72.98 ± 1.18,86.45 ± 0.78,70.05 ± 1.91,74.41 ± 1.12
PixMix,75.74 ± 0.74,87.94 ± 0.81,69.27 ± 2.69,75.08 ± 1.47
ACVC,74.32 ± 1.49,86.69 ± 1.21,70.12 ± 3.98,74.86 ± 2.44
OURS_G,71.92 ± 1.67,89.03 ± 0.5,72.34 ± 2.89,75.87 ± 1.67
OURS_SD,75.98 ± 0.74,90.11 ± 0.53,70.75 ± 3.0,76.38 ± 1.79
Con,68.15 ± 2.65,84.65 ± 0.88,68.35 ± 3.66,71.85 ± 1.45
Mod,70.63 ± 1.58,90.58 ± 0.91,72.49 ± 0.91,75.94 ± 0.62
