Algorithm,art_painting,sketch,cartoon,Average
ERM,66.08 ± 0.85,30.74 ± 4.04,29.19 ± 3.11,39.0 ± 2.78
MixUp,59.33 ± 0.83,28.44 ± 3.18,25.52 ± 4.98,35.22 ± 1.01
CutMix,60.52 ± 0.66,33.65 ± 4.91,22.22 ± 5.36,37.04 ± 3.69
AugMix,65.6 ± 2.73,31.58 ± 1.69,31.91 ± 4.52,40.05 ± 2.02
RandAugment,66.05 ± 1.23,38.87 ± 7.91,34.2 ± 4.26,44.24 ± 4.91
CutOut,64.24 ± 0.55,36.83 ± 5.45,30.71 ± 3.27,41.85 ± 2.91
RSC,67.24 ± 1.21,33.69 ± 5.25,28.02 ± 2.44,40.35 ± 3.31
SN,48.36 ± 3.37,50.17 ± 5.28,38.49 ± 1.58,46.44 ± 2.57
SRN,50.29 ± 1.89,48.88 ± 5.25,36.37 ± 3.89,45.7 ± 3.53
MEADA,63.94 ± 3.1,33.84 ± 3.43,30.01 ± 1.57,40.17 ± 1.12
L2D,65.12 ± 0.83,39.56 ± 6.91,32.86 ± 5.39,43.96 ± 4.14
PixMix,66.57 ± 1.72,32.42 ± 9.05,30.82 ± 8.37,40.37 ± 6.71
ACVC,67.78 ± 1.25,47.64 ± 5.67,37.67 ± 3.13,49.79 ± 3.37
OURS_G,67.82 ± 1.7,43.63 ± 7.33,51.69 ± 7.92,51.85 ± 5.99
OURS_SD,71.13 ± 0.76,61.26 ± 4.86,66.69 ± 2.97,65.22 ± 3.15
Con,68.44 ± 2.61,53.18 ± 3.58,62.46 ± 1.89,59.55 ± 2.47
Mod,73.74 ± 0.65,65.52 ± 1.45,73.88 ± 1.03,69.9 ± 0.57
